devicekey,name,guid,discovered,productsubtype,overallstatus,producttype,producttypestr,productname,timestamp,lockflags,fulldnsname,mxguid,discoveredname,durablename,wwname,subtype2,subtype3,subtype4,subtype5,subtype6,subtype7,subtype8,nodeluid,uniqueidentifier
1305,3H7AMK0133,XXXXXX3H7AMK0133,1303931842187,HPProLiant,0,1,Server,ProLiant BL685c G1,1323331243814,0,"",00000050569801850000000300000519,3H7AMK0133,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884903193,58585858-5858-4833-3741-4D4B30313333
1303,USE7436V6H,405024USE7436V6H,1303931842035,HPProLiant,0,1,Server,ProLiant BL685c G1,1323331244931,0,"",00000050569801850000000300000517,USE7436V6H,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884903191,30353034-3432-5355-4537-343336563648
1308,USE801879P,405024USE801879P,1303931842529,HPProLiant,0,1,Server,ProLiant BL685c G1,1323331244523,0,"",0000005056980185000000030000051c,USE801879P,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884903196,30353034-3432-5355-4538-303138373950
1260,sc9-k05-bc1,09SGH043P6EW,1303931696952,ServerEnc,1,14,Enclosure,BladeSystem c7000 Enclosure G2,1322768342898,0,"",000000505698018500000003000004ec,sc9-k05-bc1,"","",c-Class                         ,                                ,                                ,                                ,                                ,                                ,                                ,12884903148,47533930-3048-3334-5036-455720202020
1302,USE801879T,405024USE801879T,1303931841912,HPProLiant,0,1,Server,ProLiant BL685c G1,1323331244880,0,"",00000050569801850000000300000516,USE801879T,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884903190,30353034-3432-5355-4538-303138373954
1304,USE7436V69,405024USE7436V69,1303931842118,HPProLiant,0,1,Server,ProLiant BL685c G1,1323331242769,0,"",00000050569801850000000300000518,USE7436V69,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884903192,30353034-3432-5355-4537-343336563639
1307,USE7436V6F,405024USE7436V6F,1303931842344,HPProLiant,0,1,Server,ProLiant BL685c G1,1323331244148,0,"",0000005056980185000000030000051b,USE7436V6F,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884903195,30353034-3432-5355-4537-343336563646
2572,USE132DTL5,643785USE132DTL5,1313647879308,HPProLiant,1,1,Server,ProLiant BL680c G7,1322768390229,0,"",00000050569801850000000300000a0c,USE132DTL5,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904460,37333436-3538-5355-4531-333244544C35
205,sc9-prod-ebiz1-6,"",1303283670910,None,1,11,Unknown,"",1331889900412,0,sc9-prod-ebiz1-6.vmware.com,000000505698018500000003000000cd,sc9-prod-ebiz1-6,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902093,""
5,s2-uat-tcs2-vip,"",1303280766768,None,1,0,Unmanaged,"",1331852715327,0,s2-uat-tcs2-vip.vmware.com,00000050569801850000000300000005,s2-uat-tcs2-vip,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884901893,""
136,sc9-i6-oa2b,09O982MP0344,1303283595533,OA,1,12,MgmtProc,BladeSystem c7000 Onboard Administrator,1331889692696,0,sc9-i6-oa2b.vmware.com,00000050569801850000000300000088,sc9-i6-oa2b,"","",c-Class                         ,                                ,                                ,                                ,                                ,                                ,                                ,12884902024,394F3930-3238-504D-3033-343420202020
1126,osdc-dmz1-5-ilo,"",1303931038484,ILO,5,12,MgmtProc,Integrated Lights-Out (iLO),1331856426824,0,osdc-dmz1-5-ilo.vmware.com,00000050569801850000000300000466,osdc-dmz1-5-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903014,""
3847,sc9-bm.026-pdu-pri-f13.vmware.com,"",1329819966986,None,1,11,Unknown,"",1331891487676,0,sc9-bm.026-pdu-pri-f13.vmware.com,00000050569801850000000300000f07,sc9-bm,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884905735,""
3842,sc9-bm.026-pdu-red-n11.vmware.com,"",1329819958069,None,1,11,Unknown,"",1331891487916,0,sc9-bm.026-pdu-red-n11.vmware.com,00000050569801850000000300000f02,sc9-bm,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884905730,""
1246,sc9-stage-vmg1-5,"",1303931632028,None,1,11,Unknown,"",1331888538560,0,sc9-stage-vmg1-5.vmware.com,000000505698018500000003000004de,sc9-stage-vmg1-5,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903134,""
3843,sc9-bm.026-pdu-red-n12.vmware.com,"",1329819959260,None,1,11,Unknown,"",1331891487690,0,sc9-bm.026-pdu-red-n12.vmware.com,00000050569801850000000300000f03,sc9-bm,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884905731,""
2150,esrs2-policy,"",1307784214126,None,1,0,Unmanaged,"",1331890722734,0,esrs2-policy.vmware.com,00000050569801850000000300000866,esrs2-policy,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904038,""
3840,sc9-bm.026-pdu-pri-n11.vmware.com,"",1329819957381,None,1,11,Unknown,"",1331891487689,0,sc9-bm.026-pdu-pri-n11.vmware.com,00000050569801850000000300000f00,sc9-bm,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884905728,""
3844,sc9-bm.026-pdu-red-f06.vmware.com,"",1329819963913,None,1,11,Unknown,"",1331891487387,0,sc9-bm.026-pdu-red-f06.vmware.com,00000050569801850000000300000f04,sc9-bm,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884905732,""
1279,sc9-fab15sw1,"",1303931794392,None,5,11,Unknown,"",1331856949675,0,sc9-fab15sw1.vmware.com,000000505698018500000003000004ff,sc9-fab15sw1,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903167,""
2545,sc9-prod-vmg3-9,"",1313487075267,None,1,11,Unknown,"",1331890774976,0,sc9-prod-vmg3-9.vmware.com,000000505698018500000003000009f1,sc9-prod-vmg3-9,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904433,""
1243,sc9-stage-vmg1-3,"",1303931622086,None,1,11,Unknown,"",1331888509266,0,sc9-stage-vmg1-3.vmware.com,000000505698018500000003000004db,sc9-stage-vmg1-3,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903131,""
167,sc9-i6-oa1a,09O97BMU5153,1303283600277,OA,1,12,MgmtProc,BladeSystem c7000 Onboard Administrator,1331889816772,0,sc9-i6-oa1a.vmware.com,000000505698018500000003000000a7,sc9-i6-oa1a,"","",c-Class                         ,                                ,                                ,                                ,                                ,                                ,                                ,12884902055,394F3930-4237-554D-3531-353320202020
3250,sc9-vnx7500-1704b,"",1322792128659,None,1,11,Unknown,"",1331890821511,0,sc9-vnx7500-1704b.vmware.com,00000050569801850000000300000cb2,sc9-vnx7500-1704b,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884905138,""
1225,TWT828V0KH,TWT828V0KH,1303931579166,c-Class,1,8,Switch,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,1331888453424,0,"",000000505698018500000003000004c9,TWT828V0KH,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903113,38545754-3832-3056-4B48-202020202020
1403,sc9-l07-oa1a,09O979MU2845,1303932171096,OA,5,12,MgmtProc,BladeSystem c7000 Onboard Administrator,1331857291126,0,sc9-l07-oa1a.vmware.com,0000005056980185000000030000057b,sc9-l07-oa1a,"","",c-Class                         ,                                ,                                ,                                ,                                ,                                ,                                ,12884903291,394F3930-3937-554D-3238-343520202020
2828,10.113.195.42,"",1316942308875,None,1,11,Unknown,"",1331891457524,0,sc9-bm.026-pdu-red-h04.vmware.com,00000050569801850000000300000b0c,10.113.195.42,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904716,""
1779,sc9-ns4-960-01-spa,"",1303934108874,None,1,11,Unknown,"",1331890607193,0,sc9-ns4-960-01-spa.vmware.com,000000505698018500000003000006f3,sc9-ns4-960-01-spa,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903667,""
1263,sc9-k05-bc1-flex10-2,3C4034005L,1303931703115,c-Class,1,8,Switch,HP VC Flex-10 Enet Module,1322788788897,0,sc9-k05-bc1-flex10-2.vmware.com,000000505698018500000003000004ef,sc9-k05-bc1-flex10-2,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903151,30344333-3433-3030-354C-202020202020
1264,sc9-k05bc1-odd,CN8036B0AC,1303931704050,c-Class,1,8,Switch,HP B-series 8/24c SAN Switch BladeSystem c-Class,1322788791908,0,sc9-k05bc1-odd.vmware.com,000000505698018500000003000004f0,sc9-k05bc1-odd,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903152,30384E43-3633-3042-4143-202020202020
1297,TWT828V0LP,TWT828V0LP,1303931837016,c-Class,1,8,Switch,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,1322839482624,0,"",00000050569801850000000300000511,TWT828V0LP,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903185,38545754-3832-3056-4C50-202020202020
413,10.128.204.32,"",1303329089711,None,5,11,Unknown,"",1331853980449,0,"",0000005056980185000000030000019d,10.128.204.32,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902301,""
1301,L06,Rack_09USE7436WY3,1303931841411,c-Class daisy-chained,0,13,Rack,Rack,1322820534261,0,"",00000050569801850000000300000515,L06,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903189,RACK_09USE7436WY3
449,10.128.204.110,"",1303329167282,None,1,11,Unknown,"",1331879171416,0,"",000000505698018500000003000001c1,10.128.204.110,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902337,""
1446,sc9-avamar1n8-ilo,"",1303932361176,None,5,11,Unknown,"",1331858076201,0,sc9-avamar1n8-ilo.vmware.com,000000505698018500000003000005a6,sc9-avamar1n8-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903334,""
1444,sc9-avamar1n4-ilo,"",1303932353334,None,5,11,Unknown,"",1331858080515,0,sc9-avamar1n4-ilo.vmware.com,000000505698018500000003000005a4,sc9-avamar1n4-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903332,""
1448,sc9-avamar1n16-ilo,"",1303932372433,None,5,11,Unknown,"",1331858086827,0,sc9-avamar1n16-ilo.vmware.com,000000505698018500000003000005a8,sc9-avamar1n16-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903336,""
527,wdc-h07-oa1a,09O979MU1691,1303329261797,OA,1,12,MgmtProc,BladeSystem c7000 Onboard Administrator,1331879323805,0,wdc-h07-oa1a.vmware.com,0000005056980185000000030000020f,wdc-h07-oa1a,"","",c-Class                         ,                                ,                                ,                                ,                                ,                                ,                                ,12884902415,394F3930-3937-554D-3136-393120202020
1650,view-vmg2-3-ilo,ILO518878USE0494T0C,1303933481867,ILO3,5,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331858107286,0,view-vmg2-3-ilo.vmware.com,00000050569801850000000300000672,view-vmg2-3-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903538,ILO518878USE0494T0C
1652,view-vmg2-5-ilo,ILO518878USE0494T09,1303933482190,ILO3,5,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331858112365,0,view-vmg2-5-ilo.vmware.com,00000050569801850000000300000674,view-vmg2-5-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903540,ILO518878USE0494T09
1649,view-vmg2-2-ilo,ILO518878USE0494T0B,1303933481739,ILO3,5,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331858106529,0,view-vmg2-2-ilo.vmware.com,00000050569801850000000300000671,view-vmg2-2-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903537,ILO518878USE0494T0B
1599,FOC1147T0SK,FOC1147T0SK,1303933298617,c-Class,1,8,Switch,Cisco Catalyst Blade Switch 3020 for HP,1331890002069,0,"",0000005056980185000000030000063f,FOC1147T0SK,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903487,31434F46-3431-5437-3053-4B2020202020
1540,sc9-stage-ebiz1-7,"",1303932846891,None,1,11,Unknown,"",1331889608027,0,sc9-stage-ebiz1-7.vmware.com,00000050569801850000000300000604,sc9-stage-ebiz1-7,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903428,""
666,wdc-t2msg-dr1-2-ilo,ILO443527USE80892WF,1303414442904,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331879338676,0,wdc-t2msg-dr1-2-ilo.vmware.com,0000005056980185000000030000029a,wdc-t2msg-dr1-2-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902554,ILO443527USE80892WF
703,ora-fmprodsoa-r2-ilo,ILO403435USE7153W20,1303929827872,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331867970855,0,ora-fmprodsoa-r2-ilo.vmware.com,000000505698018500000003000002bf,ora-fmprodsoa-r2-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902591,ILO403435USE7153W20
748,osdc-ph3-e25-oa1a,09O978MU3885,1303929902811,OA,1,12,MgmtProc,BladeSystem c7000 Onboard Administrator,1331866916622,0,osdc-ph3-e25-oa1a.vmware.com,000000505698018500000003000002ec,osdc-ph3-e25-oa1a,"","",c-Class                         ,                                ,                                ,                                ,                                ,                                ,                                ,12884902636,394F3930-3837-554D-3338-383520202020
3816,sc9-bm.026-pdu-pri-n05.vmware.com,"",1329562109798,None,1,11,Unknown,"",1331891482225,0,sc9-bm.026-pdu-pri-n05.vmware.com,00000050569801850000000300000ee8,sc9-bm,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884905704,""
1707,at-vum,"",1303933686997,None,5,0,Unmanaged,"",1331892032609,0,at-vum.vmware.com,000000505698018500000003000006ab,at-vum,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903595,""
1390,sc9-prod-vmg2-4-ilo,ILO443527USE80996BV,1303932125106,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331888974653,0,sc9-prod-vmg2-4-ilo.vmware.com,0000005056980185000000030000056e,sc9-prod-vmg2-4-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903278,ILO443527USE80996BV
691,osdc-fab54sw1,"",1303929826301,None,1,11,Unknown,"",1331866835390,0,osdc-fab54sw1.vmware.com,000000505698018500000003000002b3,osdc-fab54sw1,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902579,""
1682,view-vmg1-8-ilo,ILO518878USE03816F5,1303933554886,ILO3,5,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331858821626,0,view-vmg1-8-ilo.vmware.com,00000050569801850000000300000692,view-vmg1-8-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903570,ILO518878USE03816F5
1919,USE11180V3,603719USE11180V3,1304440540739,HPProLiant,9,1,Server,ProLiant BL490c G7,1331892400242,0,"",0000005056980185000000030000077f,USE11180V3,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884903807,37333036-3931-5355-4531-313138305633
1669,sc9-ws-broker,"",1303933491386,None,5,11,Unknown,"",1331858806347,0,sc9-ws-broker.vmware.com,00000050569801850000000300000685,sc9-ws-broker,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903557,""
1686,FOC1138T0S5,FOC1138T0S5,1303933562669,c-Class,1,8,Switch,Cisco Catalyst Blade Switch 3020 for HP,1331890168618,0,"",00000050569801850000000300000696,FOC1138T0S5,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903574,31434F46-3331-5438-3053-352020202020
706,TWT735V03T,TWT735V03T,1303929828133,c-Class,1,8,Switch,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,1331866833825,0,"",000000505698018500000003000002c2,TWT735V03T,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902594,37545754-3533-3056-3354-202020202020
1915,USE11180V4,603719USE11180V4,1304440532338,HPProLiant,9,1,Server,ProLiant BL490c G7,1331858842210,0,"",0000005056980185000000030000077b,USE11180V4,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884903803,37333036-3931-5355-4531-313138305634
1687,FOC1139T04L,FOC1139T04L,1303933564259,c-Class,1,8,Switch,Cisco Catalyst Blade Switch 3020 for HP,1331890168664,0,"",00000050569801850000000300000697,FOC1139T04L,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903575,31434F46-3331-5439-3034-4C2020202020
1681,view-vmg1-7-ilo,ILO518878USE03816FB,1303933552563,ILO3,5,12,MgmtProc,Integrated Lights-Out 3 (iLO 3),1331858824701,0,view-vmg1-7-ilo.vmware.com,00000050569801850000000300000691,view-vmg1-7-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903569,ILO518878USE03816FB
1850,temp-sc9-prod-vmg4-1-vmotion,"",1303934494642,None,1,11,Unknown,"",1331892068303,0,temp-sc9-prod-vmg4-1-vmotion.vmware.com,0000005056980185000000030000073a,temp-sc9-prod-vmg4-1-vmotion,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903738,""
1847,temp-sc9-prod-vmg3-6-vmotion,"",1303934483853,None,1,11,Unknown,"",1331892050025,0,temp-sc9-prod-vmg3-6-vmotion.vmware.com,00000050569801850000000300000737,temp-sc9-prod-vmg3-6-vmotion,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903735,""
2563,VCD_09SGH132PC02,"",1313647876864,c-Class,0,29,VCDomain,HP Virtual Connect Domain,1322768384886,0,"",00000050569801850000000300000a03,VCD_09SGH132PC02,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904451,VCD_UNIQUE_ID_09SGH132PC02
736,FOC1138T050,FOC1138T050,1303929858895,c-Class,1,8,Switch,Cisco Catalyst Blade Switch 3020 for HP,1331866898489,0,"",000000505698018500000003000002e0,FOC1138T050,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902624,31434F46-3331-5438-3035-302020202020
737,FOC1136T0H9,FOC1136T0H9,1303929859071,c-Class,1,8,Switch,Cisco Catalyst Blade Switch 3020 for HP,1331866898537,0,"",000000505698018500000003000002e1,FOC1136T0H9,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902625,31434F46-3331-5436-3048-392020202020
805,osdc-ph3-wopsvmg1-1,"",1303929961674,None,1,11,Unknown,"",1331866996016,0,osdc-ph3-wopsvmg1-1.vmware.com,00000050569801850000000300000325,osdc-ph3-wopsvmg1-1,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902693,""
807,osdc-ph3-wopsvmg1-2,"",1303929965408,None,1,11,Unknown,"",1331866996456,0,osdc-ph3-wopsvmg1-2.vmware.com,00000050569801850000000300000327,osdc-ph3-wopsvmg1-2,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902695,""
740,osdc-ph3-e14,Rack_09USE7416NHR,1303929859943,c-Class daisy-chained,0,13,Rack,Rack,1331866936360,0,"",000000505698018500000003000002e4,osdc-ph3-e14,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902628,RACK_09USE7416NHR
776,osdc-ph3-vmg1-4-vmotion,"",1303929925028,None,1,11,Unknown,"",1331866987730,0,osdc-ph3-vmg1-4-vmotion.vmware.com,00000050569801850000000300000308,osdc-ph3-vmg1-4-vmotion,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902664,""
1921,USE11180TY,603719USE11180TY,1304440544660,HPProLiant,9,1,Server,ProLiant BL490c G7,1331892383931,0,"",00000050569801850000000300000781,USE11180TY,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884903809,37333036-3931-5355-4531-313138305459
1923,USE11180TW,603719USE11180TW,1304440549218,HPProLiant,9,1,Server,ProLiant BL490c G7,1331859088227,0,"",00000050569801850000000300000783,USE11180TW,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884903811,37333036-3931-5355-4531-313138305457
885,at-vmg1-2,"",1303930036813,None,1,11,Unknown,"",1331867156998,0,at-vmg1-2.vmware.com,00000050569801850000000300000375,at-vmg1-2,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902773,""
1925,USE11180V1,603719USE11180V1,1304440553782,HPProLiant,9,1,Server,ProLiant BL490c G7,1331859076169,0,"",00000050569801850000000300000785,USE11180V1,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884903813,37333036-3931-5355-4531-313138305631
806,osdc-ph3-wopsvmg1-4-vmotion,"",1303929964379,None,1,11,Unknown,"",1331867018384,0,osdc-ph3-wopsvmg1-4-vmotion.vmware.com,00000050569801850000000300000326,osdc-ph3-wopsvmg1-4-vmotion,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902694,""
951,osdc-ph3-vmg2-2,"",1303930422748,None,1,11,Unknown,"",1331867538028,0,osdc-ph3-vmg2-2.vmware.com,000000505698018500000003000003b7,osdc-ph3-vmg2-2,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902839,""
888,osdc-ph3-vmg1-1,"",1303930055394,None,1,11,Unknown,"",1331867111393,0,osdc-ph3-vmg1-1.vmware.com,00000050569801850000000300000378,osdc-ph3-vmg1-1,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902776,""
698,ora-apps-phnx-2-ilo,ILO403435USE7153W1X,1303929827346,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331867386820,0,ora-apps-phnx-2-ilo.vmware.com,000000505698018500000003000002ba,ora-apps-phnx-2-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902586,ILO403435USE7153W1X
864,osdc-ph3-e26-oa1a,09O979MU5986,1303930002628,OA,1,12,MgmtProc,BladeSystem c7000 Onboard Administrator,1331867035023,0,osdc-ph3-e26-oa1a.vmware.com,00000050569801850000000300000360,osdc-ph3-e26-oa1a,"","",c-Class                         ,                                ,                                ,                                ,                                ,                                ,                                ,12884902752,394F3930-3937-554D-3539-383620202020
884,at-vmg1-4,"",1303930035877,None,1,11,Unknown,"",1331867136645,0,at-vmg1-4.vmware.com,00000050569801850000000300000374,at-vmg1-4,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902772,""
701,pasiebdbstage1b-ilo,ILO403435USE74576KD,1303929827553,ILO2,1,12,MgmtProc,Integrated Lights-Out 2 (iLO 2),1331867280596,0,pasiebdbstage1b-ilo.vmware.com,000000505698018500000003000002bd,pasiebdbstage1b-ilo,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902589,ILO403435USE74576KD
916,osdc-ph3-vmg2-5,"",1303930360378,None,1,11,Unknown,"",1331867523568,0,osdc-ph3-vmg2-5.vmware.com,00000050569801850000000300000394,osdc-ph3-vmg2-5,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902804,""
954,osdc-ph3-vmg2-3-vmotion,"",1303930435561,None,1,11,Unknown,"",1331867556983,0,osdc-ph3-vmg2-3-vmotion.vmware.com,000000505698018500000003000003ba,osdc-ph3-vmg2-3-vmotion,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902842,""
2353,sc9-prod-vmg4-12,"",1311326388467,None,5,11,Unknown,"",1331859375330,0,sc9-prod-vmg4-12.vmware.com,00000050569801850000000300000931,sc9-prod-vmg4-12,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904241,""
895,osdc-cx3-80-03a,"",1303930089974,None,1,0,Unmanaged,"",1331867188749,0,osdc-cx3-80-03a.vmware.com,0000005056980185000000030000037f,osdc-cx3-80-03a,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902783,""
956,osdc-stg-vmg1-3,"",1303930449451,None,1,11,Unknown,"",1331867648552,0,osdc-stg-vmg1-3.vmware.com,000000505698018500000003000003bc,osdc-stg-vmg1-3,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902844,""
917,osdc-ph3-labmgr1-1,"",1303930361311,None,1,11,Unknown,"",1331867488281,0,osdc-ph3-labmgr1-1.vmware.com,00000050569801850000000300000395,osdc-ph3-labmgr1-1,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902805,""
855,FOC1140T126,FOC1140T126,1303930001690,c-Class,1,8,Switch,Cisco Catalyst Blade Switch 3020 for HP,1331867057009,0,"",00000050569801850000000300000357,FOC1140T126,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902743,31434F46-3431-5430-3132-362020202020
957,osdc-stg-vmg1-7,"",1303930462823,None,1,11,Unknown,"",1331867620610,0,osdc-stg-vmg1-7.vmware.com,000000505698018500000003000003bd,osdc-stg-vmg1-7,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902845,""
1986,sc9-k05-bc1-flex10-1,3C4034005W,1304898329410,c-Class,1,8,Switch,HP VC Flex-10 Enet Module,1322791786922,0,sc9-k05-bc1-flex10-1.vmware.com,000000505698018500000003000007c2,sc9-k05-bc1-flex10-1,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884903874,30344333-3433-3030-3557-202020202020
953,osdc-stg-vmg1-2,"",1303930433324,None,1,11,Unknown,"",1331867640061,0,osdc-stg-vmg1-2.vmware.com,000000505698018500000003000003b9,osdc-stg-vmg1-2,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902841,""
840,osdc-ph3-e26,Rack_09USE74575X7,1303929993439,c-Class daisy-chained,0,13,Rack,Rack,1331867224280,0,"",00000050569801850000000300000348,osdc-ph3-e26,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902728,RACK_09USE74575X7
998,FOC1138T0SJ,FOC1138T0SJ,1303930589100,c-Class,1,8,Switch,Cisco Catalyst Blade Switch 3020 for HP,1331867843383,0,"",000000505698018500000003000003e6,FOC1138T0SJ,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902886,31434F46-3331-5438-3053-4A2020202020
959,osdc-stg-vmg1-2-vmotion,"",1303930472712,None,1,11,Unknown,"",1331867687926,0,osdc-stg-vmg1-2-vmotion.vmware.com,000000505698018500000003000003bf,osdc-stg-vmg1-2-vmotion,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884902847,""
3238,old-sc9-k05-oa1b,"",1322788551612,OA,5,0,Unmanaged,"",1331859916484,0,old-sc9-k05-oa1b.vmware.com,00000050569801850000000300000ca6,old-sc9-k05-oa1b,"","",c-Class                         ,                                ,                                ,                                ,                                ,                                ,                                ,12884905126,""
3080,SC9-K13-BC1_vc_domain,"",1319619743519,c-Class,0,29,VCDomain,HP Virtual Connect Domain,1331888619753,0,"",00000050569801850000000300000c08,SC9-K13-BC1_vc_domain,"","",                                ,                                ,                                ,                                ,                                ,                                ,                                ,12884904968,VCD_UNIQUE_ID_09SGH138PCV7
3026,USE133E6KY,603719USE133E6KY,1319277721327,HPProLiant,9,1,Server,ProLiant BL490c G7,1331892408894,0,"",00000050569801850000000300000bd2,USE133E6KY,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904914,37333036-3931-5355-4531-333345364B59
3031,USE133E6KT,603719USE133E6KT,1319277732583,HPProLiant,9,1,Server,ProLiant BL490c G7,1331892478790,0,"",00000050569801850000000300000bd7,USE133E6KT,"","",Blade                           ,c-Class                         ,                                ,                                ,                                ,                                ,                                ,12884904919,37333036-3931-5355-4531-333345364B54
