"timestamp","vcserver","cluster","totalcpu","totalmemory","numcpucores"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-dev-greenplum1","689408","4397462781952","256"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-dev-greenplum2","517056","2198731390976","192"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-qa-greenplum1","1034112","4397462781952","384"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-qa-greenplum2","517056","2198731390976","192"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-dev-sap1","384000","2198523887616","160"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-dev-sap2","86368","549682855936","32"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-test-greenplum (Pivotal BIG data)","153536","1099438604288","64"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-prd1-greenplum","302288","1923889995776","112"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-win1","129552","824449941504","48"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-test50","129552","824524283904","48"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","osdc-ph3-vmg1","83584","274868649984","32"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","osdc-ph3-vmg2","115200","206147948544","48"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","sc9-vf-dev1 (sc9-k9-10)","318336","1288392978432","108"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","sc9-vf-dev2 (sc9-j12-13)","882816","3298318860288","384"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-devtest4","503760","1374209515520","240"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-devtest1","192000","343579914240","80"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-devtest3","192000","343579914240","80"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-itlab1","159760","1099489816576","80"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-itlab2","0","0","0"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-lt-vmg1","284736","1133784961024","96"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-lt-vmg2","95880","549734002688","40"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-lt-rac","460608","3298315935744","192"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-lt-vmg3","345472","2198533177344","128"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-qai-vmg1","249600","549742329856","96"
"2014-11-14 02:49:53","vc-dev-1.vmware.com","wdc-uat-vmg1","249600","549742329856","96"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","wdc-stage1","129552","824524283904","48"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","osdc-vmg2","153600","274863931392","64"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","osdc-vmg3","62688","103072272384","24"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","paix-vmg1","95976","205948448768","36"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","promb-prod-vsan1","89748","102969765888","36"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","promb-prod-vmg1","11200","34355240960","4"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","wdc-prod-vmg1","86368","549633294336","32"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","wdc-t2prod1","153600","274863931392","64"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod12-sql","194328","824524283904","72"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod-vmg3","940296","2742026776576","424"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod-vmg4","604560","2267569934336","216"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod-vmg5","211152","824568926208","72"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod-vmg6","95880","549733998592","40"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod-ebiz","172736","1099365711872","64"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod-vmg2","172736","1099365711872","64"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod-sql-vmg8","302288","1923889995776","112"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod7-win","259104","1649048567808","96"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod-rac","460608","3298315935744","192"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-vf-prod1","291144","1236864184320","96"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-vf-prod2-Moved-to-vf-prod-vc-01","1356224","4947377639424","576"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod9-win","230304","1649157967872","96"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod10","307072","1649121476608","128"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod11","453432","2611084763136","168"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod-greenplum1","1034112","4397462781952","384"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod-greenplum2","581688","2473572814848","216"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-stage-vmg2","427008","1099367612416","192"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-stage-vmg5","211152","824568922112","72"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-stage-vmg6","95880","549733998592","40"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-stage-ebiz","172736","1099365711872","64"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-stage-vmg1","259104","1649048567808","96"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-stage-rac","460608","3298315935744","192"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-stage7-sql","129552","824524283904","48"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-vf-stage1","172736","1099365711872","64"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-stage8","453432","2611084763136","168"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-stage-greenplum1","1034112","4397462781952","384"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-stage-greenplum2","581688","2473572814848","216"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","vf-mgmt","95976","309205352448","36"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-prod-vmg1","259104","1649048567808","96"
"2014-11-14 02:50:05","vc-prod-1.vmware.com","sc9-mgmt1","172736","1099365711872","64"
"2014-11-14 02:50:17","vf-prod-vc-01.vmware.com","sc9-vf-prod2","1356224","4947377639424","576"
